id,slug,name,description,concept_family
1,virtue,Virtue,Excellence of character and conduct.,ethics
2,tranquility,Tranquility,Freedom from disturbance or inner turmoil.,wellbeing
3,suffering,Suffering,"Pain, dissatisfaction, or existential unease.",human-condition
4,emptiness,Emptiness,Lack of inherent independent existence.,metaphysics
5,presence,Presence,Attentive awareness of immediate experience.,attention
6,discipline,Discipline,Capacity to act with consistency and restraint.,action
7,meaning,Meaning,"Sense of significance, direction, or purpose.",purpose
8,attachment,Attachment,Emotional bond and its behavioral consequences.,relationships
9,habit,Habit,Repeated pattern of behavior shaped by cues and reinforcement.,behavior
10,wealth,Wealth,Material resources and the behaviors surrounding them.,money
